plate,url
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/NZYYNJY=MTK133.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/MJY0NDM=MTA433.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/NJUWOTM=MJQ233.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/OTM4ODM=MJK433.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/NTGYOTA=MTQ033.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/MZC0OTI=MZG333.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/MTE2NZA=MZG533.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/NJC0MJY=NZYZ33.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/NDUWMZE=ODU333.png
plate_4,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/OTG5NZA=OTK344.png
plate_4,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/NJA4ODU=NZQW44.png
plate_4,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/NTMXNZU=ODE344.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/NJEWOTE=NDM433.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/MTQZNTQ=NDG233.png
plate_4,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/NTI4MTQ=OTC544.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/MTYXMZU=MZGX33.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/MJE3NZI=NDQ133.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/NDQ1MDI=ODA=33.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/MTA3MTK=MA==33.png
plate_4,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/MZQ4NJC=NZU544.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/MTY2NDU=NDE033.png
plate_3,https://audiosamplesp808.blob.core.windows.net/p910-assets/imgs/plates/MTAZMDA=OTCY33.png
